,codigo_pais,ano,populacao,gdp
643,CHN,2007,1321513216,3550327803024.69
644,CHN,2008,1330167168,4594336785752.06
645,CHN,2009,1339125632,5101691124358.41
646,CHN,2010,1348191360,6087191746738.57
647,CHN,2011,1357095424,7551545703518.14
648,CHN,2012,1366560768,8532185381696.43
649,CHN,2013,1376100352,9570471111847.82
650,CHN,2014,1385189632,10475624944290.1
651,CHN,2015,1393715456,11061572618594.8
652,CHN,2016,1401889664,11233313730288.5
653,CHN,2017,1410275968,12310491333980.9
654,CHN,2018,1417069440,13894907857925.9
655,CHN,2019,1421864064,14279968506242.8
656,COL,2004,41648272,117092416666.245
657,COL,2005,42220944,145600529626.71
658,COL,2006,42772912,161792958886.81
659,COL,2007,43306592,206229540893.231
660,COL,2008,43815316,242504150472.931
661,COL,2009,44313916,232468663073.684
662,COL,2010,44816104,286498534094.963
663,COL,2011,45308896,334966134865.3
664,COL,2012,45782420,370691143086.755
665,COL,2013,46237928,382093697077.685
666,COL,2014,46677944,381240864422.407
667,COL,2015,47119728,293492370228.844
668,COL,2016,47625960,282720100286.228
669,COL,2017,48351668,311866875135.578
670,COL,2018,49276968,334198218100.719
671,COL,2019,50187404,323031701210.765
672,COM,2004,581161,633706110.795614
673,COM,2005,592691,653845169.168576
674,COM,2006,604664,698431793.872776
675,COM,2007,616901,795673153.183373
676,COM,2008,629476,915659107.761613
677,COM,2009,642498,905341173.9738
678,COM,2010,656032,907978731.702123
679,COM,2011,670081,1023086272.69622
680,COM,2012,684564,1015843491.24635
681,COM,2013,699397,1116224107.17116
682,COM,2014,714617,1149587659.74502
683,COM,2015,730221,966029599.801228
684,COM,2016,746239,1012835492.51575
685,COM,2017,761672,1077439756.12221
686,COM,2018,776322,1188797449.96029
687,COM,2019,790993,1195019531.03664
688,COG,2004,3543018,4656974940.12721
689,COG,2005,3672845,6650001680.48544
690,COG,2006,3813325,8072305029.06514
